Run	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[genotype]	Sample Characteristic Ontology Term[genotype]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[strain]	Sample Characteristic Ontology Term[strain]	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[initial time point]	Sample Characteristic Ontology Term[initial time point]	Factor Value[developmental stage]	Factor Value Ontology Term[developmental stage]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Factor Value[sex]	Factor Value Ontology Term[sex]	Analysed
SRR006511	L2 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002719	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L2 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002719	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR006512	L2 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002719	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L2 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002719	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR006513	L2 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002719	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L2 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002719	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR006514	newly molted young adult hermaphrodite Ce	http://www.ebi.ac.uk/efo/EFO_0005498	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						newly molted young adult hermaphrodite Ce	http://www.ebi.ac.uk/efo/EFO_0005498	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR006515	newly molted young adult hermaphrodite Ce	http://www.ebi.ac.uk/efo/EFO_0005498	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						newly molted young adult hermaphrodite Ce	http://www.ebi.ac.uk/efo/EFO_0005498	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR006516	newly molted young adult hermaphrodite Ce	http://www.ebi.ac.uk/efo/EFO_0005498	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						newly molted young adult hermaphrodite Ce	http://www.ebi.ac.uk/efo/EFO_0005498	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR006517	L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR006518	L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR006519	L3 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002720	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L3 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002720	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR006520	L3 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002720	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L3 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002720	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR016669	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR016670	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR016671	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR016672	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR016673	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR016674	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR016675	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR016676	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR016677	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR016678	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR016679	L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR016680	L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR016681	L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR016682	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR016683	L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR016684	L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	him-8(e1489)IV.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	CB4689						L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	No
SRR016685	L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	him-8(e1489)IV.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	CB4689						L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	No
SRR016686	L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	him-8(e1489)IV.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	CB4689						L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	No
SRR016687	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR016688	L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	lin-35(n745) I.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	MT10430	http://www.ebi.ac.uk/efo/EFO_0005493					L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR016689	L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	lin-35(n745) I.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	MT10430	http://www.ebi.ac.uk/efo/EFO_0005493					L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR016690	L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	lin-35(n745) I.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	MT10430	http://www.ebi.ac.uk/efo/EFO_0005493					L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR016691	L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	lin-35(n745) I.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	MT10430	http://www.ebi.ac.uk/efo/EFO_0005493					L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR023534	adult Ce	http://purl.obolibrary.org/obo/WBls_0000041	spe-9(hc88)I.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	BA671	http://www.ebi.ac.uk/efo/EFO_0005490					adult Ce	http://purl.obolibrary.org/obo/WBls_0000041	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR023535	adult Ce	http://purl.obolibrary.org/obo/WBls_0000041	spe-9(hc88)I.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	BA671	http://www.ebi.ac.uk/efo/EFO_0005490					adult Ce	http://purl.obolibrary.org/obo/WBls_0000041	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR023536	adult Ce	http://purl.obolibrary.org/obo/WBls_0000041	spe-9(hc88)I.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	BA671	http://www.ebi.ac.uk/efo/EFO_0005490					adult Ce	http://purl.obolibrary.org/obo/WBls_0000041	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR023537	adult Ce	http://purl.obolibrary.org/obo/WBls_0000041	spe-9(hc88)I.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	BA671	http://www.ebi.ac.uk/efo/EFO_0005490					adult Ce	http://purl.obolibrary.org/obo/WBls_0000041	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR023579	L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR023580	L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR023581	L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR027187	dauer larva Ce	http://www.ebi.ac.uk/efo/EFO_0005507	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					dauer larva Ce	http://www.ebi.ac.uk/efo/EFO_0005507	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR027188	dauer larva Ce	http://www.ebi.ac.uk/efo/EFO_0005507	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					dauer larva Ce	http://www.ebi.ac.uk/efo/EFO_0005507	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR027189	L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR027190	L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR027191	post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR027192	post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
