GeneID,LS,LS_EXP,SecondMax,RestMean,FoldDiff 
WBGene00000001,L1 larva Ce,12140,5547,2874,4.22407794
WBGene00000002,elongating embryo Ce,12554,7828,2306,5.444058977
WBGene00000002,L1 larva Ce,7828,7828,3251.2,2.407726378
WBGene00000003,elongating embryo Ce,7180,7180,2900.2,2.475691332
WBGene00000003,L1 larva Ce,11253,7180,2085.6,5.39556962
WBGene00000004,elongating embryo Ce,33305,26947,7225.2,4.609560981
WBGene00000004,L1 larva Ce,26947,26947,8496.8,3.171429244
WBGene00000006,L1 larva Ce,12243,3146,1249,9.802241793
WBGene00000010,L1 larva Ce,9228,2911,1977.8,4.665790272
WBGene00000016,L1 larva Ce,5461,1059,397.4,13.74182184
WBGene00000017,L1 larva Ce,20223,1667,600,33.705
WBGene00000018,elongating embryo Ce,20758,11995,4771.4,4.350505093
WBGene00000020,L1 larva Ce,41841,4596,2179.4,19.19840323
WBGene00000022,L1 larva Ce,18159,4475,1873,9.695141484
WBGene00000035,L1 larva Ce,4609,2134,1037.8,4.441125458
WBGene00000036,L1 larva Ce,18078,2705,1320.6,13.68923217
WBGene00000037,L1 larva Ce,19362,5475,1609.2,12.03206562
WBGene00000038,L1 larva Ce,6940,642,301.8,22.99536117
WBGene00000039,elongating embryo Ce,79070,33690,11046.2,7.158117724
WBGene00000040,L1 larva Ce,111381,40065,19781.6,5.630535447
WBGene00000041,L1 larva Ce,135273,68426,35504.6,3.81001335
WBGene00000064,adult Ce,76978,49098,32239.4,2.387699523
WBGene00000066,L1 larva Ce,1300918,294102,168262.6,7.731474493
WBGene00000067,L3 larva Ce,118885,74460,35969,3.305207262
WBGene00000068,L1 larva Ce,25587,7822,3815.2,6.706594674
WBGene00000069,L1 larva Ce,6765,1436,460.4,14.69374457
WBGene00000070,L1 larva Ce,9378,6506,3018.2,3.107149957
WBGene00000072,L1 larva Ce,6051,1152,813.6,7.437315634
WBGene00000073,dauer larva Ce,21660,5657,2179.4,9.938515188
WBGene00000074,L1 larva Ce,29894,3733,2173.2,13.75575189
WBGene00000079,elongating embryo Ce,14615,9644,6352,2.300850126
WBGene00000080,elongating embryo Ce,7321,5524,3154.8,2.320590846
WBGene00000081,L1 larva Ce,26513,11695,6986.4,3.794944464
WBGene00000083,L1 larva Ce,22103,7716,4337.4,5.095909992
WBGene00000086,L1 larva Ce,26086,9502,3712,7.027478448
WBGene00000088,L1 larva Ce,8530,1402,623.6,13.67864015
WBGene00000089,L1 larva Ce,6875,1325,593.2,11.58968307
WBGene00000090,L1 larva Ce,19715,4715,3320.4,5.937537646
WBGene00000092,L1 larva Ce,52592,6738,3156.6,16.66096433
WBGene00000095,elongating embryo Ce,9077,9077,3278,2.769066504
WBGene00000095,L1 larva Ce,10438,9077,3005.8,3.472619602
WBGene00000097,L1 larva Ce,8122,2946,1678.8,4.837979509
WBGene00000098,elongating embryo Ce,6569,6569,3253.2,2.019242592
WBGene00000098,adult Ce,6880,6569,3191,2.15606393
WBGene00000100,elongating embryo Ce,90781,90781,27018.6,3.359944631
WBGene00000100,L1 larva Ce,97337,90781,25707.4,3.786341676
WBGene00000102,L1 larva Ce,65516,37478,12001,5.459211732
WBGene00000102,dauer larva Ce,37478,37478,17608.6,2.128391809
WBGene00000103,L1 larva Ce,38626,8090,2758.6,14.00203002
WBGene00000105,elongating embryo Ce,128533,128533,58863,2.183595807
WBGene00000105,L1 larva Ce,240369,128533,36495.8,6.58620992
WBGene00000106,elongating embryo Ce,26978,26978,11414.8,2.363422925
WBGene00000106,L1 larva Ce,38063,26978,9197.8,4.138272196
WBGene00000107,L1 larva Ce,27727,20537,12797.6,2.166578108
WBGene00000108,dauer larva Ce,9788,29,6.8,1439.411765
WBGene00000109,elongating embryo Ce,26134,13127,8632.4,3.027431537
WBGene00000110,L1 larva Ce,51406,11418,8451,6.082830434
WBGene00000111,L1 larva Ce,8003,1156,759.2,10.54135933
WBGene00000112,L1 larva Ce,10318,7562,4547.8,2.268789305
WBGene00000113,L1 larva Ce,6293,2689,1727.4,3.643047354
WBGene00000114,L1 larva Ce,699225,232767,80505.4,8.685442219
WBGene00000115,L3 larva Ce,20789,11815,9516,2.184636402
WBGene00000116,elongating embryo Ce,4735,2834,1257,3.76690533
WBGene00000117,L1 larva Ce,7991,2949,2063.2,3.873109732
WBGene00000118,L1 larva Ce,26030,8043,4293,6.063358956
WBGene00000120,elongating embryo Ce,11773,3557,1542.6,7.631920135
WBGene00000122,L1 larva Ce,25835,15545,6817.4,3.78956787
WBGene00000123,L1 larva Ce,64095,22850,17162.2,3.734661057
WBGene00000135,L1 larva Ce,7040,2838,658,10.69908815
WBGene00000136,L3 larva Ce,6190,3134,1533.2,4.037307592
WBGene00000137,elongating embryo Ce,6203,2781,1272.2,4.875805691
WBGene00000138,L1 larva Ce,13673,2210,1665.4,8.21003963
WBGene00000140,L1 larva Ce,176763,19971,13182.6,13.40881162
WBGene00000142,elongating embryo Ce,5170,3367,2210.2,2.339154828
WBGene00000146,L1 larva Ce,29100,19779,9315.6,3.123792348
WBGene00000147,L1 larva Ce,5315,4307,1558.6,3.410111639
WBGene00000148,elongating embryo Ce,8121,3390,1945.6,4.174033717
WBGene00000149,L1 larva Ce,459037,107671,50154.4,9.152477151
WBGene00000150,L1 larva Ce,68706,12811,5851.4,11.74180538
WBGene00000156,elongating embryo Ce,24210,10721,5910.4,4.096169464
WBGene00000157,elongating embryo Ce,9401,5516,1969.6,4.773050366
WBGene00000157,L1 larva Ce,5516,5516,2746.6,2.008301172
WBGene00000158,L1 larva Ce,34017,19942,9373.4,3.629099366
WBGene00000159,elongating embryo Ce,6376,6038,2393.4,2.663992646
WBGene00000159,L1 larva Ce,6038,6038,2461,2.453474197
WBGene00000160,L1 larva Ce,78817,27516,11867.8,6.641247746
WBGene00000161,elongating embryo Ce,26135,26135,11378.2,2.296936247
WBGene00000161,L1 larva Ce,32261,26135,10153,3.177484487
WBGene00000162,elongating embryo Ce,8451,8451,4158.4,2.032272028
WBGene00000162,L1 larva Ce,10027,8451,3843.2,2.60902373
WBGene00000163,elongating embryo Ce,14644,10832,5733.2,2.554245448
WBGene00000164,elongating embryo Ce,9725,7930,2590.4,3.754246448
WBGene00000164,L1 larva Ce,7930,7930,2949.4,2.688682444
WBGene00000165,elongating embryo Ce,5825,1763,1474,3.95183175
WBGene00000166,L1 larva Ce,6532,882,339.4,19.24572775
WBGene00000168,adult Ce,5064,983,599.4,8.448448448
WBGene00000169,L1 larva Ce,7384,2750,1391.2,5.307648074
WBGene00000170,elongating embryo Ce,291717,291717,92756.6,3.144972972
WBGene00000170,L1 larva Ce,396171,291717,71865.8,5.512649967
WBGene00000175,L1 larva Ce,60753,14829,6544.2,9.283487668
WBGene00000176,L1 larva Ce,4543,4543,1895.8,2.396349826
WBGene00000176,L3 larva Ce,6128,4543,1578.8,3.881428933
WBGene00000178,elongating embryo Ce,13579,9372,4035.8,3.364636503
WBGene00000179,elongating embryo Ce,6150,3184,1756.2,3.501879057
WBGene00000180,L1 larva Ce,4481,3163,1507.2,2.973062633
WBGene00000182,elongating embryo Ce,70308,70308,34918.2,2.013505851
WBGene00000182,L1 larva Ce,96281,70308,29723.6,3.239210594
WBGene00000183,elongating embryo Ce,68771,68771,33125.2,2.076093125
WBGene00000183,L1 larva Ce,71804,68771,32518.6,2.208090139
WBGene00000186,L1 larva Ce,13261,9583,4378.6,3.028593614
WBGene00000187,elongating embryo Ce,6120,4115,2244.8,2.726300784
WBGene00000188,L1 larva Ce,6105,2291,996.4,6.127057407
WBGene00000192,L1 larva Ce,20820,9690,5107.4,4.076438109
WBGene00000195,L1 larva Ce,8162,5094,2018.8,4.042995839
WBGene00000197,L1 larva Ce,34154,23531,15999.8,2.134651683
WBGene00000199,L1 larva Ce,43200,10676,5659,7.633857572
WBGene00000200,L1 larva Ce,46207,11695,6536.2,7.069398121
WBGene00000201,L1 larva Ce,39504,10215,5285.2,7.474456974
WBGene00000203,elongating embryo Ce,5668,2384,1449.4,3.91058369
WBGene00000204,L1 larva Ce,14078,9839,4352.2,3.234685906
WBGene00000207,L1 larva Ce,85800,40331,26205.6,3.274109351
WBGene00000208,L1 larva Ce,6271,3907,1892,3.31448203
WBGene00000214,L1 larva Ce,656690,243205,96806.4,6.783539105
WBGene00000215,L1 larva Ce,77999,73613,26741,2.916831831
WBGene00000215,L3 larva Ce,73613,73613,27618.2,2.665380075
WBGene00000216,L1 larva Ce,137737,94891,36459.4,3.777818615
WBGene00000216,L3 larva Ce,94891,94891,45028.6,2.107349551
WBGene00000217,L1 larva Ce,46868,37681,20463.2,2.29035537
WBGene00000218,L1 larva Ce,294351,75053,31972.8,9.2062941
WBGene00000219,L1 larva Ce,1036265,97759,39955.4,25.93554313
WBGene00000220,elongating embryo Ce,42884,3491,1290.2,33.23825763
WBGene00000221,L1 larva Ce,29295,13740,8472.4,3.457697937
WBGene00000222,L1 larva Ce,27305,9547,4060,6.725369458
WBGene00000223,L1 larva Ce,155649,23041,15292.6,10.17805998
WBGene00000224,elongating embryo Ce,35949,35949,13285.8,2.705821253
WBGene00000224,L1 larva Ce,50354,35949,10404.8,4.839497155
WBGene00000225,L1 larva Ce,20074,8090,3879,5.175045115
WBGene00000227,L1 larva Ce,8261,4389,2634.6,3.135580354
WBGene00000228,L1 larva Ce,42672,23122,11649.2,3.66308416
WBGene00000229,L1 larva Ce,503637,241532,161356.2,3.121274547
WBGene00000230,L1 larva Ce,136333,38849,24346.8,5.599627056
WBGene00000231,L1 larva Ce,87890,27330,20666.4,4.25279681
WBGene00000232,L1 larva Ce,5970,2844,1088,5.487132353
WBGene00000233,L1 larva Ce,21021,8493,2130.8,9.865308804
WBGene00000235,elongating embryo Ce,11083,4165,3525.4,3.143756737
WBGene00000237,L1 larva Ce,36379,12547,4705,7.731987248
WBGene00000238,L1 larva Ce,9334,3984,2421.4,3.854794747
WBGene00000239,L1 larva Ce,4590,2391,1065.4,4.308241036
WBGene00000240,L1 larva Ce,54629,6925,4644.6,11.76183094
WBGene00000245,L1 larva Ce,11469,2782,1358.8,8.440535767
WBGene00000247,dauer larva Ce,6699,4589,2476.2,2.705354979
WBGene00000248,elongating embryo Ce,18665,10913,3484.4,5.356732866
WBGene00000248,L1 larva Ce,10913,10913,5034.8,2.167514102
WBGene00000249,elongating embryo Ce,8327,5881,2118.8,3.930054748
WBGene00000249,L1 larva Ce,5881,5881,2608,2.254984663
WBGene00000251,L3 larva Ce,27212,579,259.6,104.8228043
WBGene00000252,L3 larva Ce,13021,137,62.6,208.0031949
WBGene00000253,L1 larva Ce,9630,6702,3610.4,2.667294483
WBGene00000256,L3 larva Ce,13524,1124,235.6,57.40237691
WBGene00000257,elongating embryo Ce,6911,4739,2841.4,2.432251707
WBGene00000259,L1 larva Ce,7994,4485,2171.6,3.681156751
WBGene00000263,L1 larva Ce,32951,15374,12220.4,2.696392917
WBGene00000266,elongating embryo Ce,14089,4988,2847.8,4.947327762
WBGene00000268,L1 larva Ce,37553,9056,4807.8,7.810849037
WBGene00000271,L1 larva Ce,8397,5662,3089.6,2.71782755
WBGene00000272,elongating embryo Ce,4621,394,172.4,26.80394432
WBGene00000273,L1 larva Ce,468855,348158,83166.6,5.637539589
WBGene00000273,dauer larva Ce,348158,348158,107306,3.244534322
WBGene00000275,elongating embryo Ce,10135,8228,4344.4,2.332888316
WBGene00000276,L1 larva Ce,81186,55921,16510.2,4.917323836
WBGene00000276,dauer larva Ce,55921,55921,21563.2,2.593353491
WBGene00000277,L1 larva Ce,460434,96231,27863,16.52492553
WBGene00000281,L1 larva Ce,15964,7561,3450.4,4.626709947
WBGene00000282,L1 larva Ce,42231,9602,6020.4,7.014650189
WBGene00000283,L1 larva Ce,4959,1903,1330.2,3.728010825
WBGene00000284,L1 larva Ce,19315,3972,1183.2,16.32437458
WBGene00000286,L1 larva Ce,13608,6721,1655.2,8.221362977
WBGene00000286,dauer larva Ce,6721,6721,3032.6,2.216250082
WBGene00000288,L1 larva Ce,9645,3775,1033.6,9.331462848
WBGene00000289,elongating embryo Ce,44782,39291,11665.2,3.838939752
WBGene00000289,L1 larva Ce,39291,39291,12763.4,3.078411708
WBGene00000292,elongating embryo Ce,18346,14472,5587,3.28369429
WBGene00000292,L1 larva Ce,14472,14472,6361.8,2.274827879
WBGene00000293,L1 larva Ce,39056,16768,9123,4.281047901
WBGene00000294,L1 larva Ce,50473,14984,8506.2,5.93367191
WBGene00000295,L1 larva Ce,8342,729,341.6,24.42037471
WBGene00000298,L1 larva Ce,7489,2751,1477.8,5.067668155
WBGene00000301,elongating embryo Ce,122158,5023,1625.2,75.16490278
WBGene00000366,L1 larva Ce,150055,74158,30224.6,4.964664545
WBGene00000367,L1 larva Ce,24196,5933,2766.8,8.745120717
WBGene00000368,L1 larva Ce,25011,5188,2748.8,9.098879511
WBGene00000369,L1 larva Ce,15503,10975,5575,2.780807175
WBGene00000370,L1 larva Ce,120945,33787,9274.4,13.04073579
WBGene00000373,dauer larva Ce,5326,3538,1084.6,4.910566107
WBGene00000374,L1 larva Ce,7010,4724,2048,3.422851563
WBGene00000376,L1 larva Ce,57344,41472,19040.6,3.0116698
WBGene00000377,L1 larva Ce,45872,27376,18311.6,2.505078748
WBGene00000378,L1 larva Ce,38967,27331,16720.6,2.330478571
WBGene00000379,L1 larva Ce,66133,66133,30198.6,2.189935957
WBGene00000379,dauer larva Ce,87461,66133,25933,3.372575483
WBGene00000380,L1 larva Ce,146933,84987,39575.6,3.712716927
WBGene00000381,L1 larva Ce,39430,26417,17671.6,2.231263723
